INVOICE_ID,NUM_PAGO,FECHA_PAGO,FECHA_APLICACION,BANCO_CUENTA,IMPORTE_PAGO,ADELANTO_APLICADO,MONEDA_PAGO,TC_PAGO
1630106,39688,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",33485.26,0,MXN,
1628206,39688,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",33485.26,0,MXN,
1627851,39689,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2444.96,0,MXN,
1627982,39689,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2444.96,0,MXN,
1627908,39689,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",4889.92,0,MXN,
1628777,39689,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",4889.92,0,MXN,
1627911,39689,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",1602.72,0,MXN,
1627912,39689,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",3205.44,0,MXN,
1631287,39690,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",9779.84,0,MXN,
1631288,39690,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",7334.88,0,MXN,
1631289,39690,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",6410.88,0,MXN,
1626919,39691,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",3844.96,0,MXN,
1626920,39691,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",3844.96,0,MXN,
1626922,39691,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",3844.96,0,MXN,
1626924,39691,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",3844.96,0,MXN,
1626925,39691,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",3844.96,0,MXN,
1626839,39691,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",4898.88,0,MXN,
1626933,39691,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",4898.88,0,MXN,
1626934,39691,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",4898.88,0,MXN,
1626935,39691,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",4898.88,0,MXN,
1632379,39692,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",4545.18,0,MXN,
1628318,39693,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",39872,0,MXN,
1628338,39693,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",6048,0,MXN,
1628232,39693,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",822.08,0,MXN,
1628550,39693,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",7280,0,MXN,
1628567,39693,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",1602.72,0,MXN,
1628722,39693,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",1149.12,0,MXN,
1651394,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651305,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651395,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2111.2,0,MXN,
1651396,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",1809.6,0,MXN,
1651306,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651307,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651397,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",904.8,0,MXN,
1651398,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",1206.4,0,MXN,
1651399,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651308,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651309,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",1206.4,0,MXN,
1651400,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",1508,0,MXN,
1651310,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651401,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651311,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",1206.4,0,MXN,
1651402,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2111.2,0,MXN,
1651312,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651313,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651403,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651314,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651404,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",1508,0,MXN,
1651315,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",1508,0,MXN,
1651405,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",904.8,0,MXN,
1651316,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",603.2,0,MXN,
1651406,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651317,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651407,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",1809.6,0,MXN,
1651318,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651408,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651319,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651409,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651320,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",603.2,0,MXN,
1651410,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2111.2,0,MXN,
1651321,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2111.2,0,MXN,
1651411,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651322,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",904.8,0,MXN,
1651412,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651323,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651413,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
1651324,39694,2025-02-27,2025-02-27,"FORWARDING BANORTE 0371",2600.64,0,MXN,
